name,age,email,joindate,department,salary,performancescore,active
Unknown,40.5,user@example.com,2020-01-01,finance,72107.0,3.0,Y
Alice,48.0,noemail,2020-01-01,it,73484.0,1.0,N
Alice,40.5,noemail@example.com,2020-01-01,unknown,73484.0,3.0,Y
Unknown,40.5,noemail@example.com,2020-01-01,finance,45708.0,4.0,Y
Charlie,40.5,noemail@example.com,2020-01-01,unknown,73484.0,2.0,N
Bob,40.5,test@site.org,2022-12-12,unknown,73484.0,3.0,N
Bob,40.5,test@site.org,2020-01-01,unknown,73484.0,5.0,Y
Bob,42.0,test@site.org,2022-12-12,it,73484.0,3.0,Y
Unknown,40.5,test@site.org,2020-01-01,hr,64754.0,2.0,N
Unknown,43.0,user@example.com,2020-01-01,hr,73484.0,1.0,N
Unknown,55.0,test@site.org,2020-01-01,finance,73484.0,1.0,Y
Eve,40.5,noemail,2020-01-01,it,73484.0,5.0,Y
Alice,40.5,noemail@example.com,2020-01-01,it,73484.0,3.0,Y
Eve,40.5,test@site.org,2020-01-01,it,73484.0,2.0,N
David,41.0,noemail,2022-12-12,it,113879.0,2.0,N
Alice,40.5,test@site.org,2020-01-01,it,101295.0,4.0,Y
Alice,43.0,user@example.com,2022-12-12,finance,73484.0,3.0,N
Alice,49.0,noemail@example.com,2020-01-01,hr,73484.0,3.0,N
Bob,40.5,user@example.com,2020-01-01,it,73484.0,3.0,Y
Bob,21.0,noemail@example.com,2020-01-01,unknown,31802.0,3.0,Y
Eve,40.5,test@site.org,2020-01-01,it,73484.0,3.0,N
Eve,40.5,test@site.org,2020-01-01,hr,103656.0,3.0,N
Alice,40.5,noemail@example.com,2020-01-01,unknown,73484.0,3.0,N
Eve,40.5,noemail,2020-01-01,hr,77254.0,2.0,N
Bob,40.5,noemail,2020-01-01,it,73484.0,3.0,N
Unknown,40.5,test@site.org,2020-01-01,it,115981.0,3.0,Y
Unknown,40.5,test@site.org,2022-12-12,hr,73484.0,5.0,N
Unknown,40.5,user@example.com,2020-01-01,finance,73484.0,1.0,Y
Eve,40.5,test@site.org,2022-12-12,unknown,73484.0,3.0,N
David,40.5,noemail@example.com,2020-01-01,unknown,73484.0,4.0,N
Bob,40.5,noemail,2020-01-01,hr,73484.0,3.0,N
David,40.5,noemail,2020-01-01,finance,73484.0,3.0,N
Eve,40.5,user@example.com,2020-01-01,finance,73484.0,4.0,N
Charlie,28.0,noemail,2022-12-12,unknown,73484.0,3.0,N
Unknown,40.5,noemail,2020-01-01,finance,73484.0,2.0,Y
Unknown,40.5,noemail@example.com,2020-01-01,it,73484.0,3.0,N
Alice,23.0,noemail@example.com,2020-01-01,hr,73484.0,3.0,N
Unknown,40.5,noemail@example.com,2020-01-01,finance,73484.0,1.0,Y
Unknown,33.0,noemail,2020-01-01,hr,73484.0,3.0,N
Bob,40.5,user@example.com,2020-01-01,finance,37400.0,5.0,Y
Unknown,40.5,user@example.com,2020-01-01,unknown,73484.0,4.0,N
David,21.0,noemail,2020-01-01,it,73484.0,2.0,N
Charlie,39.0,test@site.org,2020-01-01,finance,73484.0,3.0,N
Charlie,47.0,noemail@example.com,2020-01-01,finance,73484.0,2.0,N
Bob,40.5,noemail,2020-01-01,unknown,34499.0,4.0,N
Bob,27.0,user@example.com,2020-01-01,finance,73484.0,1.0,N
Unknown,54.0,user@example.com,2020-01-01,finance,73484.0,1.0,N
Charlie,40.5,noemail@example.com,2022-12-12,unknown,73484.0,3.0,N
Alice,36.0,noemail@example.com,2020-01-01,finance,73484.0,4.0,N
Alice,40.5,noemail,2020-01-01,it,73484.0,3.0,N
David,40.5,noemail,2020-01-01,it,73484.0,4.0,Y
Alice,40.5,noemail@example.com,2022-12-12,it,73484.0,2.0,N
Charlie,40.5,noemail@example.com,2022-12-12,it,73484.0,4.0,N
Unknown,40.5,noemail@example.com,2020-01-01,unknown,73484.0,4.0,N
Charlie,40.5,user@example.com,2020-01-01,finance,73484.0,4.0,Y
Eve,40.5,noemail@example.com,2022-12-12,it,73484.0,3.0,N
Charlie,40.5,noemail@example.com,2022-12-12,it,73484.0,3.0,N
Unknown,40.5,test@site.org,2022-12-12,finance,73484.0,1.0,N
Alice,40.5,noemail,2020-01-01,finance,73484.0,5.0,N
Unknown,29.0,user@example.com,2020-01-01,hr,73484.0,3.0,N
David,55.0,noemail@example.com,2020-01-01,finance,73484.0,3.0,Y
Eve,40.5,user@example.com,2022-12-12,unknown,51357.0,5.0,N
Alice,40.5,noemail@example.com,2020-01-01,hr,73484.0,3.0,N
David,40.5,noemail@example.com,2020-01-01,unknown,73484.0,2.0,Y
Alice,40.5,test@site.org,2020-01-01,finance,73484.0,1.0,Y
Eve,40.5,noemail,2022-12-12,unknown,73484.0,3.0,N
Charlie,42.0,noemail@example.com,2020-01-01,finance,73484.0,1.0,Y
Unknown,59.0,user@example.com,2020-01-01,it,73484.0,3.0,Y
Unknown,40.0,noemail,2020-01-01,unknown,116831.0,4.0,N
Eve,40.5,noemail@example.com,2022-12-12,hr,73484.0,3.0,Y
Unknown,40.5,noemail,2020-01-01,finance,73484.0,1.0,N
Charlie,43.0,user@example.com,2020-01-01,finance,52399.0,3.0,N
Eve,40.5,noemail,2020-01-01,finance,73484.0,5.0,N
Bob,40.5,noemail@example.com,2020-01-01,finance,116416.0,1.0,N
Unknown,40.5,noemail,2020-01-01,hr,73484.0,3.0,N
Alice,40.5,noemail@example.com,2020-01-01,finance,74064.0,3.0,Y
Alice,40.5,noemail,2020-01-01,hr,73484.0,2.0,N
Unknown,40.5,noemail@example.com,2020-01-01,it,73484.0,2.0,N
Bob,40.5,noemail,2022-12-12,it,73484.0,3.0,N
Unknown,40.5,noemail@example.com,2020-01-01,unknown,49830.0,3.0,N
Charlie,40.5,test@site.org,2020-01-01,finance,73484.0,3.0,Y
Alice,40.5,test@site.org,2022-12-12,it,73484.0,2.0,Y
Unknown,27.0,noemail@example.com,2020-01-01,it,73484.0,3.0,Y
Bob,40.5,noemail@example.com,2020-01-01,hr,73484.0,4.0,N
Unknown,30.0,test@site.org,2020-01-01,finance,33436.0,1.0,N
Alice,36.0,noemail@example.com,2020-01-01,it,73484.0,5.0,Y
David,27.0,noemail@example.com,2020-01-01,unknown,73484.0,3.0,N
Charlie,54.0,noemail,2020-01-01,it,73484.0,1.0,N
David,40.5,noemail@example.com,2020-01-01,unknown,73484.0,1.0,Y
Unknown,40.5,noemail@example.com,2020-01-01,unknown,60746.0,3.0,Y
Unknown,40.5,user@example.com,2020-01-01,it,79377.0,3.0,N
Charlie,40.5,noemail,2020-01-01,hr,73484.0,3.0,Y
Bob,40.5,noemail,2020-01-01,unknown,73484.0,2.0,N
Charlie,40.5,test@site.org,2020-01-01,finance,73484.0,3.0,N
Charlie,40.5,noemail@example.com,2020-01-01,it,35600.0,3.0,N
Bob,27.0,noemail@example.com,2020-01-01,unknown,73484.0,2.0,N
Unknown,40.5,noemail@example.com,2020-01-01,unknown,104543.0,2.0,Y
Charlie,40.5,noemail,2020-01-01,unknown,75714.0,3.0,N
Unknown,52.0,noemail@example.com,2020-01-01,finance,73484.0,3.0,N
Unknown,40.5,noemail@example.com,2020-01-01,unknown,73484.0,2.0,N
Unknown,40.5,noemail@example.com,2020-01-01,unknown,73484.0,3.0,N
Alice,40.5,test@site.org,2020-01-01,finance,48589.0,5.0,Y
Eve,40.5,noemail@example.com,2022-12-12,it,73484.0,3.0,Y
Unknown,40.5,noemail@example.com,2020-01-01,hr,73484.0,3.0,N
Bob,40.5,test@site.org,2022-12-12,finance,66212.0,5.0,N
Eve,40.5,user@example.com,2020-01-01,finance,73484.0,3.0,N
Unknown,40.5,noemail,2020-01-01,unknown,73484.0,3.0,N
Bob,40.5,noemail@example.com,2020-01-01,finance,73484.0,2.0,Y
Bob,40.5,noemail@example.com,2020-01-01,it,73484.0,2.0,Y
David,56.0,noemail,2020-01-01,unknown,73484.0,4.0,N
David,33.0,user@example.com,2020-01-01,finance,73484.0,3.0,N
Charlie,40.5,test@site.org,2020-01-01,hr,73484.0,3.0,N
Unknown,20.0,noemail,2020-01-01,hr,73484.0,4.0,Y
Unknown,24.0,test@site.org,2020-01-01,finance,73484.0,3.0,N
Eve,40.5,test@site.org,2020-01-01,unknown,73484.0,3.0,N
Bob,40.5,test@site.org,2022-12-12,it,84240.0,3.0,Y
Unknown,58.0,user@example.com,2020-01-01,finance,73484.0,3.0,N
Charlie,46.0,user@example.com,2020-01-01,unknown,73484.0,3.0,N
Unknown,40.5,test@site.org,2020-01-01,unknown,73484.0,2.0,N
Unknown,34.0,noemail@example.com,2022-12-12,finance,73484.0,3.0,Y
Unknown,34.0,noemail@example.com,2020-01-01,it,73484.0,3.0,N
Alice,40.5,user@example.com,2020-01-01,it,73484.0,3.0,N
Bob,40.5,noemail@example.com,2020-01-01,hr,73484.0,5.0,N
Unknown,51.0,noemail@example.com,2020-01-01,it,73484.0,3.0,N
Unknown,51.0,test@site.org,2020-01-01,it,96105.0,3.0,Y
Charlie,23.0,noemail@example.com,2020-01-01,unknown,73484.0,2.0,Y
David,40.5,noemail@example.com,2020-01-01,it,73484.0,2.0,Y
Charlie,40.5,noemail@example.com,2022-12-12,it,73484.0,2.0,N
Alice,40.5,test@site.org,2020-01-01,finance,34014.0,2.0,N
Bob,40.5,test@site.org,2022-12-12,finance,73484.0,3.0,Y
Eve,40.5,user@example.com,2020-01-01,it,73484.0,2.0,N
Unknown,40.5,user@example.com,2020-01-01,it,73484.0,3.0,Y
Charlie,40.5,noemail@example.com,2020-01-01,hr,73484.0,3.0,N
Bob,40.5,test@site.org,2020-01-01,finance,73484.0,1.0,Y
Unknown,40.5,test@site.org,2020-01-01,hr,73484.0,3.0,N
