name,gender,income
Jacob Walton,city,60029.61
Andrew Cohen,month,111051.09
Michael Walker Jr.,bad,147115.75
Jake Hart,book,34513.46
Julie Anderson,between,49075.18
Jeremy Murray,them,34849.48
Lori Sparks,inside,131409.15
Dr. Madeline Klein DDS,see,30780.29
Susan Ward,defense,129469.09
Erik Butler,reality,74931.18
Johnathan Mckee,discover,129856.89
Brenda Edwards,out,90448.59
Daniel Day,if,45873.44
Carol Daugherty,effect,129593.49
Grace Salazar,water,67722.79
Ryan Washington,majority,148111.94
Robert Johnson,end,57191.33
Stephanie Smith,scene,59371.73
Gina Peters,might,108372.39
Brandon Rogers,teach,77789.99
Joshua Cunningham,treat,70122.46
Aaron Phillips,body,112643.77
Kaitlin Jennings,compare,52507.73
George Wong,suggest,64281.6
Keith Russo,respond,77738.16
Tiffany Garcia,move,37878.19
Melanie Hughes,language,42228.59
Sherry Hurst,cut,107214.06
Tiffany Hernandez,affect,47627.78
Derek Figueroa,type,111871.61
Marissa Haynes,door,139140.36
Rebecca Lewis,mission,137564.08
Nicholas Oconnor,none,32998.1
Teresa Perez,throw,111751.91
Robert Briggs,far,46992.0
Marco Clark,account,142670.06
Patricia Hughes,power,127905.5
Daniel Martinez,force,96284.93
Sean Cervantes,she,114649.69
Tammy Brooks,and,80606.05
Mary Ball,floor,80622.53
Dylan Clark,guess,95283.34
Jonathan Burns,realize,53272.85
Amy Chavez,leave,62911.5
Jeff Berry,soldier,127394.09
Patrick Davis,capital,55599.66
Ryan Webster,professor,57226.41
Juan Hicks,quality,101545.36
Shannon Jackson,animal,129334.91
Danielle Martinez,suddenly,44179.33
Cynthia Garrett,will,140878.65
John Cox,three,125076.46
Carol Jackson,star,143439.54
Dalton Wells,shake,82700.9
Steven Kim,along,56781.28
Terri Garcia,character,145267.13
Cynthia Steele,player,137191.58
Sean Flores,scientist,91593.65
Aaron Johnson,same,92339.68
Laurie Miles,society,86695.88
Shawn Jacobson,kind,135559.54
James Boyd,military,97757.25
Tyrone Vance,wear,149334.74
Jamie Juarez,hope,94848.51
Gary Rodriguez,hair,103669.08
Olivia Reid,recognize,47386.22
Miguel Joseph,cover,137877.06
Taylor Thomas,crime,78662.11
Vanessa Fernandez,pull,148807.77
Jessica Cochran,many,139428.43
Charles Barrett,step,63781.87
Melissa Griffin,fund,84780.53
Robert Edwards,development,147077.27
Heather Stewart,product,139446.41
John Howard,each,104827.38
Timothy Chavez,most,51807.02
Angela Johnson,image,85360.05
Paul Brown,effort,124619.15
Bernard Williamson,hear,126743.03
David Marshall,herself,69782.19
William Horton,until,90757.64
Patricia Brown,often,131089.9
Derek Perez,front,85321.61
Carrie Carter,wrong,125049.5
Jerome Cook,international,51926.14
Michael Wallace,after,53814.42
Christopher Wong,black,142911.19
Christine Crawford,lot,89687.65
Karen Herman,people,98818.03
Gregory Taylor,eye,139899.94
Scott Jackson,catch,93591.76
Wesley Jones,late,70731.37
Dr. Joseph Zamora,eight,72851.71
Karen Lopez,season,55379.12
Stuart Wood,over,106075.28
Tracey Reese,thought,41720.46
Ryan Hudson,successful,105220.51
Jeffrey Sparks,long,90486.47
Suzanne Knight,land,99488.33
Cole Eaton,sure,111546.24
