name,age,email,joindate,department,salary,performancescore,active
unknown,unknown,user@example.com,,finance,72107.0,unknown,yes
Alice,48,noemail,,IT,73484.0,1,unknown
Alice,unknown,unknown,,unknown,73484.0,bad,yes
unknown,unknown,unknown,,Finance,45708.0,4,Yes
Charlie,unknown,unknown,,unknown,73484.0,2,N
Bob,unknown,test@site.org,2022-12-12,unknown,73484.0,unknown,unknown
Bob,unknown,test@site.org,,unknown,73484.0,5,Yes
Bob,42,test@site.org,2022-12-12,it,73484.0,unknown,Yes
unknown,unknown,test@site.org,2020-01-05,HR,64754.0,2,N
Alice,unknown,unknown,,unknown,73484.0,3,yes
unknown,43,user@example.com,,HR,73484.0,1,N
unknown,55,test@site.org,2021-01-01,finance,73484.0,1,Y
Eve,unknown,noemail,,IT,73484.0,5,yes
Alice,unknown,unknown,2020-01-05,it,73484.0,unknown,yes
Eve,unknown,test@site.org,,it,73484.0,2,no
David,41,noemail,2022-12-12,it,113879.0,2,No
Alice,unknown,test@site.org,,IT,101295.0,4,Yes
Alice,43,user@example.com,2022-12-12,Finance,73484.0,3,unknown
Alice,49,unknown,,HR,73484.0,unknown,unknown
Bob,unknown,user@example.com,,IT,73484.0,unknown,Y
Bob,21,unknown,2021-01-01,unknown,31802.0,bad,Y
Eve,unknown,test@site.org,,it,73484.0,unknown,unknown
Eve,unknown,test@site.org,,HR,103656.0,3,N
Alice,unknown,unknown,,unknown,73484.0,unknown,no
Eve,unknown,noemail,2021-01-01,HR,77254.0,2,No
Bob,unknown,noemail,2021-01-01,it,73484.0,unknown,unknown
unknown,unknown,test@site.org,,it,115981.0,unknown,Yes
unknown,unknown,test@site.org,2022-12-12,HR,73484.0,5,unknown
unknown,unknown,user@example.com,,finance,73484.0,1,Yes
Eve,unknown,test@site.org,2022-12-12,unknown,73484.0,bad,unknown
David,unknown,unknown,2021-01-01,unknown,73484.0,4,No
Bob,unknown,noemail,2020-01-05,HR,73484.0,unknown,no
David,unknown,noemail,,Finance,73484.0,unknown,unknown
Eve,unknown,user@example.com,2020-01-05,Finance,73484.0,4,unknown
Charlie,28,noemail,2022-12-12,unknown,73484.0,bad,unknown
unknown,unknown,noemail,,finance,73484.0,2,yes
unknown,unknown,unknown,2020-01-05,IT,73484.0,bad,No
Alice,23,unknown,2020-01-05,HR,73484.0,bad,unknown
unknown,unknown,unknown,,Finance,73484.0,1,Yes
unknown,33,noemail,2020-01-05,HR,73484.0,unknown,no
Bob,unknown,user@example.com,,finance,37400.0,5,Y
unknown,unknown,user@example.com,2020-01-05,unknown,73484.0,4,unknown
David,21,noemail,2021-01-01,it,73484.0,2,no
Charlie,39,test@site.org,,finance,73484.0,unknown,No
Charlie,47,unknown,2021-01-01,finance,73484.0,2,unknown
Bob,unknown,noemail,,unknown,34499.0,4,No
Bob,27,user@example.com,2021-01-01,finance,73484.0,1,N
unknown,54,user@example.com,2020-01-05,Finance,73484.0,1,unknown
Charlie,unknown,unknown,2022-12-12,unknown,73484.0,bad,unknown
Alice,36,unknown,2021-01-01,finance,73484.0,4,No
Alice,unknown,noemail,2021-01-01,it,73484.0,3,unknown
David,unknown,noemail,2021-01-01,it,73484.0,4,yes
Alice,unknown,unknown,2022-12-12,it,73484.0,2,no
Charlie,unknown,unknown,2022-12-12,IT,73484.0,4,N
unknown,unknown,unknown,2021-01-01,unknown,73484.0,4,no
Charlie,unknown,user@example.com,,finance,73484.0,4,Y
Eve,unknown,unknown,2022-12-12,it,73484.0,bad,No
Charlie,unknown,unknown,2022-12-12,IT,73484.0,3,No
unknown,unknown,test@site.org,2022-12-12,finance,73484.0,1,N
Alice,unknown,noemail,,finance,73484.0,5,no
unknown,29,user@example.com,2021-01-01,HR,73484.0,3,no
David,55,unknown,,finance,73484.0,3,Y
Eve,unknown,user@example.com,2022-12-12,unknown,51357.0,5,N
Alice,unknown,unknown,,HR,73484.0,3,No
David,unknown,unknown,2020-01-05,unknown,73484.0,2,Y
Alice,unknown,test@site.org,2020-01-05,Finance,73484.0,1,yes
Eve,unknown,noemail,2022-12-12,unknown,73484.0,3,N
Charlie,42,unknown,,Finance,73484.0,1,Y
unknown,59,user@example.com,,IT,73484.0,bad,Y
unknown,40,noemail,2021-01-01,unknown,116831.0,4,No
Eve,unknown,unknown,2022-12-12,HR,73484.0,bad,Y
unknown,unknown,noemail,2020-01-05,Finance,73484.0,1,unknown
Charlie,43,user@example.com,2021-01-01,Finance,52399.0,3,unknown
Eve,unknown,noemail,,Finance,73484.0,5,unknown
Bob,unknown,unknown,2021-01-01,finance,116416.0,1,no
unknown,unknown,noemail,2020-01-05,HR,73484.0,3,no
