Name,Age,Email,JoinDate,Department,Salary,PerformanceScore,Active
,unknown,user@example.com,,finance,72107,,yes
Alice,48,noemail,,IT,,1,
Alice,,,,,,bad,yes
,unknown,,,Finance,45708,4,Yes
Charlie,unknown,,,,N/A,2,N
Bob,,test@site.org,12/12/2022,,,,
Bob,unknown,test@site.org,,,,5,Yes
Bob,42,test@site.org,12/12/2022,it,,,Yes
,,test@site.org,01-05-20,HR,64754,2,N
Alice,,,,,N/A,3,yes
,43,user@example.com,,HR,,1,N
,55,test@site.org,2021-01-01,finance,N/A,1,Y
Eve,,noemail,,IT,,5,yes
Alice,,,01-05-20,it,,,yes
Eve,unknown,test@site.org,,it,,2,no
David,41,noemail,12/12/2022,it,113879,2,No
Alice,unknown,test@site.org,,IT,101295,4,Yes
Alice,43,user@example.com,12/12/2022,Finance,N/A,3,
Alice,49,,,HR,N/A,,
Bob,,user@example.com,,IT,,,Y
Bob,21,,2021-01-01,,31802,bad,Y
Eve,unknown,test@site.org,,it,,,
Eve,unknown,test@site.org,,HR,103656,3,N
Alice,,,,,N/A,,no
Eve,unknown,noemail,2021-01-01,HR,77254,2,No
Bob,,noemail,2021-01-01,it,,,
,,test@site.org,,it,115981,,Yes
,unknown,test@site.org,12/12/2022,HR,N/A,5,
,unknown,user@example.com,,finance,,1,Yes
Eve,,test@site.org,12/12/2022,,,bad,
David,,,2021-01-01,,,4,No
Bob,,noemail,01-05-20,HR,,,no
David,,noemail,,Finance,,,
Eve,,user@example.com,01-05-20,Finance,,4,
Charlie,28,noemail,12/12/2022,,N/A,bad,
,unknown,noemail,,finance,,2,yes
,unknown,,01-05-20,IT,N/A,bad,No
Alice,23,,01-05-20,HR,,bad,
,,,,Finance,N/A,1,Yes
,33,noemail,01-05-20,HR,N/A,,no
Bob,unknown,user@example.com,,finance,37400,5,Y
,unknown,user@example.com,01-05-20,,,4,
David,21,noemail,2021-01-01,it,,2,no
Charlie,39,test@site.org,,finance,,,No
Charlie,47,,2021-01-01,finance,,2,
Bob,unknown,noemail,,,34499,4,No
Bob,27,user@example.com,2021-01-01,finance,,1,N
,54,user@example.com,01-05-20,Finance,,1,
Charlie,,,12/12/2022,,,bad,
Alice,36,,2021-01-01,finance,N/A,4,No
Alice,unknown,noemail,2021-01-01,it,,3,
David,,noemail,2021-01-01,it,,4,yes
Alice,,,12/12/2022,it,,2,no
Charlie,unknown,,12/12/2022,IT,,4,N
,unknown,,2021-01-01,,,4,no
Charlie,,user@example.com,,finance,,4,Y
Eve,unknown,,12/12/2022,it,,bad,No
Charlie,,,12/12/2022,IT,N/A,3,No
,,test@site.org,12/12/2022,finance,N/A,1,N
Alice,unknown,noemail,,finance,,5,no
,29,user@example.com,2021-01-01,HR,N/A,3,no
David,55,,,finance,,3,Y
Eve,,user@example.com,12/12/2022,,51357,5,N
Alice,,,,HR,,3,No
David,,,01-05-20,,,2,Y
Alice,,test@site.org,01-05-20,Finance,,1,yes
Eve,,noemail,12/12/2022,,,3,N
Charlie,42,,,Finance,N/A,1,Y
,59,user@example.com,,IT,,bad,Y
,40,noemail,2021-01-01,,116831,4,No
Eve,,,12/12/2022,HR,N/A,bad,Y
,,noemail,01-05-20,Finance,,1,
